location,country_code,gdp_usd,anxiety_percent_female,anxiety_percent_male,bipolar_percent_female,bipolar_percent_male,depress_percent_female,depress_percent_male,suicide_rate_per100k_female,suicide_rate_per100k_male
Republic of Botswana,BWA,7808.20623956293,0.068561039903842,0.0519209848970112,0.007011635045831,0.0069159224707703,0.0769561648395784,0.055436413659512,4.554716539574711,20.100372875592324
Republic of Bulgaria,BGR,12274.0775950496,0.0815396507693334,0.0449890486535095,0.0062447460240161,0.0057290480610403,0.0582673924008567,0.0322553821249254,4.997386255322122,15.825503505433394
Republic of Burundi,BDI,214.091455416133,0.0664869820962716,0.0470929225723134,0.0076537072989999,0.0074006468364857,0.0714119273826961,0.0491935510498614,3.9581152188131616,12.28529837749443
Republic of Cabo Verde,CPV,3971.4440744985,0.050268349680269,0.0409216746578148,0.0066576164332062,0.0065450641725313,0.0752014773106653,0.0644138528046066,3.144166363322371,24.33904669301173
Republic of Cameroon,CMR,1672.32657340872,0.0475679301299609,0.037832041902557,0.0063734535636202,0.0062257708509322,0.0656463875058828,0.0435489018573733,3.2579244494477164,14.127290902593291
Republic of Chad,TCD,660.747192555507,0.0471066105253255,0.0366748925813061,0.0062603468110174,0.0061089952392041,0.0705076656269695,0.0453640886269412,3.65653673831888,10.182938614018134
Republic of Chile,CHL,16216.5706467899,0.1311332747421993,0.0454532102728942,0.0110779439850594,0.0086561159513013,0.0883616582924986,0.0457991886888437,4.520301287817713,20.54328154967479
Republic of Colombia,COL,6222.62164397614,0.0895090625537712,0.0569308429332247,0.011680598363687,0.0100030863530113,0.032562882783146,0.0297114178320697,3.535593398324873,13.587520638220736
Republic of Costa Rica,CRI,12838.1185358931,0.0839217389064745,0.0481938501494435,0.0129563113287072,0.0112726670978539,0.0597588541568756,0.039804861673711,3.8614756302832176,20.97616837065609
Republic of Croatia,HRV,17789.9304736722,0.0700722474331398,0.0389384994192681,0.0073783027743354,0.0066921543973443,0.0536704442668285,0.034214891784981,3.957647772396568,14.718991934226192
Republic of Cyprus,CYP,33734.29296875,0.1080965037531368,0.0618309978146056,0.0132004339006878,0.009931570012557,0.0659537852741775,0.0358222809861967,1.1975115037787631,6.046715983481656
