location,country_code,gdp_usd,anxiety_percent_female,anxiety_percent_male,bipolar_percent_female,bipolar_percent_male,depress_percent_female,depress_percent_male,suicide_rate_per100k_female,suicide_rate_per100k_male
Northern Mariana Islands,MNP,9.875885157085534,-2.6724961080077616,-3.158235510064412,-5.618038866825295,-5.642593644381857,-3.1238680772037815,-3.185124070196038,6.588670051089404,34.22257669008295
People's Democratic Republic of Algeria,DZA,8.333404783490614,-2.3967309850011507,-2.968605985341754,-4.488433311280913,-4.606258287304194,-2.562503420792148,-3.0023330415001164,2.954385379638751,5.392921443971193
People's Republic of Bangladesh,BGD,7.817162041993389,-2.902031689033272,-3.177106904795311,-5.418357467489359,-5.282594476842033,-2.48877560948514,-3.0296700338607727,3.187052160852131,6.924084309897027
People's Republic of China,CHN,9.44284042274123,-2.9959236436907037,-3.503604076305984,-5.9626560937427096,-6.044268321880662,-3.192633184067868,-3.672783396927771,4.274235169414819,7.148371646934742
Plurinational State of Bolivia,BOL,8.127063354101892,-2.039752236533361,-2.5857699643128877,-4.338205608460384,-4.452993520076528,-2.6480069245920697,-3.2446585568616055,4.701765268240024,9.08197364040528
Portuguese Republic,PRT,10.1150220186755,-1.8878256536494915,-2.465317213561103,-4.352064589926481,-4.543339780754626,-2.2591151206815323,-2.9497808852518053,3.5794952856255544,11.433771055242952
Principality of Andorra,AND,10.655509582026047,-2.2707678534776923,-2.8274175197763487,-4.329211657119094,-4.608306803131395,-2.5405251169158114,-3.0088981093791665,2.820363977128262,11.597664087998869
Principality of Monaco,MCO,12.318612466016136,-2.253512945400466,-2.8061119689731795,-4.33686819149884,-4.602480158850717,-2.4196618329917565,-2.906352527502784,8.93055545014967,23.759837602600893
Puerto Rico,PRI,10.392657896657667,-2.4661014415867077,-3.0324488821809257,-4.311777050606634,-4.455207181672409,-3.051644387844587,-3.4117581436172495,1.768666506674342,11.411216603784084
Republic of Albania,ALB,8.766126631890723,-2.5867894066675783,-3.1632394166267717,-4.933827416887776,-5.027549276548853,-2.972058134342887,-3.6462083730787174,2.2890091962209023,4.868669798314439
Republic of Angola,AGO,7.563135512785442,-2.7865307826731,-3.0626565605577682,-4.981301792551245,-5.014676719866504,-2.3233890214840556,-2.6555631358078946,3.2706630715844653,13.948339114540248
Republic of Armenia,ARM,8.452159608296522,-2.929881678341261,-3.424656832123684,-4.953980072289653,-5.031714226378623,-2.935884783808274,-3.2473461972858497,1.3395035794183678,8.508658936201126
Republic of Austria,AUT,10.890212872176884,-2.1877124690740692,-2.7776400166052837,-4.331935502746283,-4.604851692991261,-2.743374935329244,-3.303137338277339,4.568992458820363,17.151144078217126
Republic of Azerbaijan,AZE,8.595643003736127,-3.0811563991797333,-3.5698449747120327,-4.9782410230600265,-5.045890352967119,-2.9804628837677605,-3.432099502292401,0.9861563558758998,4.727074913234669
Republic of Belarus,BLR,8.921286552060753,-2.539110878128862,-3.0038123416259355,-4.966112291560485,-5.029779639473088,-2.4887295538488527,-2.88948982768833,6.354630758590509,36.63505032429765
Republic of Benin,BEN,7.184504033771866,-3.0439182606166586,-3.286204334249481,-5.054283455885398,-5.080225024701454,-2.762925421865336,-3.165268566758827,2.649963396434601,10.20452033937549
Republic of Botswana,BWA,8.962930541622537,-2.6800308370153147,-2.9580322372552197,-4.960184360363926,-4.973928921349679,-2.564519307031961,-2.8925186148741333,4.554716539574711,20.100372875592324
Republic of Bulgaria,BGR,9.415244804833051,-2.5066658645370006,-3.101336182084804,-5.076014804923967,-5.162205894510714,-2.8427126491141017,-3.434070362069955,4.997386255322122,15.825503505433394
Republic of Burundi,BDI,5.366403285486456,-2.71074910843422,-3.0556325531079747,-4.872565134282901,-4.906187872256169,-2.639290373410109,-3.0119927402974427,3.9581152188131616,12.28529837749443
Republic of Cabo Verde,CPV,8.286885054266497,-2.990379630933927,-3.1960954135695836,-5.011993751400774,-5.029044074850725,-2.5875844031306707,-2.742426563342142,3.144166363322371,24.33904669301173
Republic of Cameroon,CMR,7.421971093596723,-3.0455964815728973,-3.2745988660455687,-5.055613795620166,-5.079058012822798,-2.723472706314252,-3.133870791676097,3.2579244494477164,14.127290902593291
Republic of Chad,TCD,6.4933713045998624,-3.0553419369518573,-3.3056628838924564,-5.073519694283725,-5.097992964623356,-2.652033842777402,-3.093034486346516,3.65653673831888,10.182938614018134
Republic of Chile,CHL,9.693788877867252,-2.0315411085011887,-3.0910718277860676,-4.502799175796772,-4.749489161484678,-2.426317133149349,-3.0834889022362826,4.520301287817713,20.54328154967479
Republic of Colombia,COL,8.735946583102677,-2.413415401243495,-2.8659180296431703,-4.449826073126533,-4.604861598305038,-3.424582204201107,-3.5162238682609157,3.535593398324873,13.587520638220736
Republic of Costa Rica,CRI,9.460174035034667,-2.4778705941069314,-3.0325238563264203,-4.346172248268401,-4.485374324283324,-2.817437912423134,-3.2237662215459633,3.8614756302832176,20.97616837065609
Republic of Croatia,HRV,9.786387872483171,-2.65822846300046,-3.245771815495341,-4.909211643195695,-5.0068194241953945,-2.924892815077921,-3.3750942973773292,3.957647772396568,14.718991934226192
Republic of Cyprus,CYP,10.426270194452982,-2.224730897569199,-2.783350457508469,-4.327505578665833,-4.612036705411028,-2.718801005344945,-3.329185205253698,1.1975115037787631,6.046715983481656
Republic of Côte d'Ivoire,CIV,7.806281665627012,-3.067938255115,-3.2872422482552484,-5.0464861376285866,-5.06604495796702,-2.8822761051068317,-3.301082297608026,2.612077248568088,12.792899326512282
Republic of Djibouti,DJI,8.012910594885959,-2.79348347605203,-3.1186176448394973,-4.838427104384754,-4.874817049931719,-2.649579378948436,-3.0335171932144713,2.7205081888955203,7.328191399938428
Republic of Ecuador,ECU,8.712069384132183,-2.1960348805920034,-2.738946191516697,-4.332235030882236,-4.456571094796342,-2.7501689118827763,-3.246417250251803,4.994338665880979,17.825464047958466
Republic of El Salvador,SLV,8.443031433726683,-2.474036979204669,-3.0171931685933373,-4.369690166093877,-4.504576155852985,-2.7346932442122984,-3.280705078303777,5.411798750273342,18.858998702691466
Republic of Equatorial Guinea,GNQ,8.845868064304248,-2.838347530880604,-3.1006522959627354,-4.97060071904001,-5.009865161530488,-2.340102478438619,-2.679492552190057,2.9497840183285606,12.731386939958254
Republic of Estonia,EST,10.238307246711367,-2.655609184860626,-3.1103418322205183,-4.958347833736084,-5.0257834027227,-2.657338589568388,-3.06858259344739,3.308128306943637,21.780592917137835
Republic of Fiji,FJI,8.454502778818235,-2.700979028046537,-3.197364344999112,-5.6427945190735205,-5.658930250813337,-3.0684763278692597,-3.2844637136555,7.766061034187166,17.984017191463362
Republic of Finland,FIN,10.879915919715371,-2.6399015640641093,-3.021247666858242,-4.335253303299578,-4.592944670228113,-2.3817353858027155,-2.824367501720048,6.904845354785506,23.13134408163112
Republic of Ghana,GHA,7.802005214515369,-3.072851231024624,-3.2936594762644167,-5.040427330191232,-5.065881173360669,-2.7345160589224182,-3.132319028893612,2.286660659152751,10.205677177479616
Republic of Guatemala,GTM,8.499832793701604,-2.4748428405759095,-3.028924283574077,-4.384412426711572,-4.518199851265321,-2.7159583709877677,-3.300441958660804,3.873898610032717,12.420870208470223
Republic of Guinea,GIN,7.126863101510255,-2.9816370610177025,-3.223508293573581,-5.054512654924158,-5.089043148920417,-2.7152944204795992,-3.2318030151863617,3.635707512467049,8.230707906961308
Republic of Guinea-Bissau,GNB,6.802847750522884,-3.0414814418607485,-3.267456097976782,-5.054636151438484,-5.0793756939619294,-2.69171676173006,-3.2138880466059283,5.328730646178169,17.318885058801666
