location,sex,age,anxiety_percent,bipolar_percent,depress_percent,suicide_rate_per100k,country_code,year,gdp_usd
Republic of Indonesia,Female,15-49 years,0.0692738503667498,0.0043571819010957,0.0425606796113692,0.9863012892435704,IDN,2021.0,4287.17313989405
Republic of Maldives,Male,15-49 years,0.0380158416448887,0.0044180787601995,0.03654348212575,3.792016895488099,MDV,2021.0,10176.143882547
Republic of Maldives,Female,15-49 years,0.0665316925373704,0.0043737421539934,0.0511621360935447,0.5104719880599902,MDV,2021.0,10176.143882547
Lao People's Democratic Republic,Male,15-49 years,0.0497034191230963,0.0042936342496518,0.0380518383828011,10.471662458800612,LAO,2021.0,2526.05105018529
Lao People's Democratic Republic,Female,15-49 years,0.0772493466898186,0.0042987118714328,0.0391588677777671,4.100554934359505,LAO,2021.0,2526.05105018529
Republic of Vanuatu,Male,15-49 years,0.0395383502218218,0.0033778710083362,0.0369706717132677,43.57722542246479,VUT,2021.0,3107.20312858002
Republic of Vanuatu,Female,15-49 years,0.0650157951152017,0.003482310225073,0.0440996479821316,11.934748583195868,VUT,2021.0,3107.20312858002
Kingdom of Tonga,Male,15-49 years,0.0400931187827186,0.0034128211683817,0.0301122031727738,10.134825300182236,TON,2021.0,4912.57950603175
Kingdom of Tonga,Female,15-49 years,0.0650253844257353,0.0035175190620875,0.0405352117005744,4.732026312330789,TON,2021.0,4912.57950603175
Republic of the Union of Myanmar,Male,15-49 years,0.0420714551238196,0.0040893450916979,0.029640111784846,7.8413134419969905,MMR,2021.0,1242.72134419599
Republic of the Union of Myanmar,Female,15-49 years,0.0739735955343934,0.0042353421823628,0.0355518997283011,1.5081928226055832,MMR,2021.0,1242.72134419599
Turkmenistan,Male,15-49 years,0.0258826188661965,0.0063391805343526,0.0362695932897316,20.4473224831291,TKM,2021.0,7051.20211079213
Turkmenistan,Female,15-49 years,0.0420318412058594,0.00666877238342,0.050926004252895,6.122646304500999,TKM,2021.0,7051.20211079213
Independent State of Samoa,Male,15-49 years,0.0397688249826106,0.0034073595417744,0.0340490411936986,29.459207795140436,WSM,2021.0,3947.64517905415
Independent State of Samoa,Female,15-49 years,0.065052279519889,0.0034532648504184,0.0406801495849021,11.04809748972776,WSM,2021.0,3947.64517905415
Kingdom of Cambodia,Male,15-49 years,0.042127273078855,0.0041201116856953,0.0381283345659499,8.082041804960392,KHM,2021.0,2167.40324198499
Kingdom of Cambodia,Female,15-49 years,0.0748095731906734,0.0042407699589577,0.047259444788058,3.096119862828021,KHM,2021.0,2167.40324198499
Independent State of Papua New Guinea,Male,15-49 years,0.0377379965095331,0.0034137875576613,0.0373323406295364,4.17636399014542,PNG,2021.0,2607.57861884395
Independent State of Papua New Guinea,Female,15-49 years,0.0616962578468809,0.0035023068396175,0.0444366827886909,2.445768381468249,PNG,2021.0,2607.57861884395
Republic of Korea,Male,15-49 years,0.0298765669858364,0.0058139106937716,0.027453684638977,28.302684473659944,KOR,2021.0,35125.5224984723
Republic of Korea,Female,15-49 years,0.0613095795016368,0.00661195304219,0.0403675412916447,14.263852462443747,KOR,2021.0,35125.5224984723
Republic of Tajikistan,Male,15-49 years,0.0268910279227478,0.0062968578739532,0.0317475580545578,7.228896075046438,TJK,2021.0,896.748053372182
Republic of Tajikistan,Female,15-49 years,0.043832320403898,0.0066919440601572,0.0494284900077728,2.440875310092145,TJK,2021.0,896.748053372182
Kyrgyz Republic,Male,15-49 years,0.0249081992762395,0.0063622364286372,0.0423513053496857,21.619084029791583,KGZ,2021.0,1349.99730650542
Kyrgyz Republic,Female,15-49 years,0.0401895576213474,0.0067481553984434,0.0575029965702324,4.930969916083346,KGZ,2021.0,1349.99730650542
Solomon Islands,Male,15-49 years,0.0395488089454681,0.0033388337572822,0.0364714466643786,47.64769803422206,SLB,2021.0,1996.86976779348
Solomon Islands,Female,15-49 years,0.0648692961146898,0.0034395814417714,0.0445565143895507,14.276851368193237,SLB,2021.0,1996.86976779348
Republic of Armenia,Male,15-49 years,0.0325604527735252,0.0065276111708799,0.0388772435875185,8.508658936201126,ARM,2021.0,4685.17997128509
Republic of Armenia,Female,15-49 years,0.0534033565451166,0.007055272479152,0.053083730896592,1.3395035794183678,ARM,2021.0,4685.17997128509
Mongolia,Male,15-49 years,0.0214852091131784,0.0063320090734622,0.0479066865610766,37.43350190633354,MNG,2021.0,4517.61578018785
Mongolia,Female,15-49 years,0.0348999958184907,0.0067390026759042,0.0604546431830172,4.846012736581654,MNG,2021.0,4517.61578018785
Republic of Azerbaijan,Male,15-49 years,0.0281602188879749,0.0064357277429098,0.032319015645941,4.727074913234669,AZE,2021.0,5408.04535175023
Republic of Azerbaijan,Female,15-49 years,0.0459061401202285,0.006886164515431,0.0507693281272158,0.9861563558758998,AZE,2021.0,5408.04535175023
Japan,Male,15-49 years,0.0336379814485734,0.0066115427689631,0.0340354099686817,24.73487915555065,JPN,2021.0,40058.5373276179
Japan,Female,15-49 years,0.0501816545361685,0.0080376894234687,0.0444400008394479,9.916876286529623,JPN,2021.0,40058.5373276179
Republic of Slovenia,Male,15-49 years,0.036599163557005,0.0067302898715305,0.0333676883180453,17.127879817671435,SVN,2021.0,29187.369382785
Republic of Slovenia,Female,15-49 years,0.0661130688444772,0.0074360740954329,0.0602909689494282,3.2691260594011946,SVN,2021.0,29187.369382785
Georgia,Male,15-49 years,0.0282716153098259,0.0064334118076786,0.0441538888211292,15.806188178931029,GEO,2021.0,5083.60695484577
Georgia,Female,15-49 years,0.0463121831540577,0.0069231715049289,0.0562758863921696,2.3336027372435586,GEO,2021.0,5083.60695484577
Republic of Kazakhstan,Male,15-49 years,0.0237543495941375,0.0063823581197224,0.0429368515912125,41.0509997011384,KAZ,2021.0,9983.60103576902
Republic of Kazakhstan,Female,15-49 years,0.0382613060929956,0.0067823564980852,0.0574834038038698,7.679720147244077,KAZ,2021.0,9983.60103576902
North Macedonia,Male,15-49 years,0.0440361961339674,0.0066755251916147,0.0302256799836979,8.405607346762668,MKD,2021.0,7620.80296977508
North Macedonia,Female,15-49 years,0.0796421252811659,0.0073251376332728,0.054657682570701,2.9400530564113936,MKD,2021.0,7620.80296977508
Romania,Male,15-49 years,0.0382665922543867,0.0082685947517565,0.0329519387954278,16.18358376006154,ROU,2021.0,14986.7854904274
Romania,Female,15-49 years,0.0695760619968407,0.0093370856891837,0.0526368986089092,2.684094448210034,ROU,2021.0,14986.7854904274
Republic of Poland,Male,15-49 years,0.0374281783384423,0.006755772788482,0.0348223106079665,29.894290331974503,POL,2021.0,18635.5104895754
Republic of Poland,Female,15-49 years,0.0662457034850686,0.0074809201326368,0.0404223129485775,3.5692412349890605,POL,2021.0,18635.5104895754
Hungary,Male,15-49 years,0.0380343456038983,0.0066808342035845,0.033639197816522,19.41014265675089,HUN,2021.0,18755.1023464312
Hungary,Female,15-49 years,0.0686256651896857,0.0073709638554656,0.0525433621857565,5.245832999259164,HUN,2021.0,18755.1023464312
Republic of Serbia,Male,15-49 years,0.0380998920328604,0.0066414451936144,0.0313411925349477,15.968415216896794,SRB,2021.0,9680.52798074468
Republic of Serbia,Female,15-49 years,0.0680612858295259,0.0072845298884593,0.052765059447398,4.34325626794549,SRB,2021.0,9680.52798074468
Montenegro,Male,15-49 years,0.0432408932539246,0.0066146629717534,0.0322214251734341,21.161029773778097,MNE,2021.0,9465.96153027794
